gvkey,datadate,fyearq,fqtr,indfmt,consol,popsrc,datafmt,conm,curcdq,datacqtr,datafqtr,costat
1038,3/31/2000,1999,4,INDL,C,D,STD,AMC ENTERTAINMENT INC -OLD,USD,2000Q1,1999Q4,I
1038,6/30/2000,2000,1,INDL,C,D,STD,AMC ENTERTAINMENT INC -OLD,USD,2000Q2,2000Q1,I
1038,9/30/2000,2000,2,INDL,C,D,STD,AMC ENTERTAINMENT INC -OLD,USD,2000Q3,2000Q2,I
1038,12/31/2000,2000,3,INDL,C,D,STD,AMC ENTERTAINMENT INC -OLD,USD,2000Q4,2000Q3,I
1038,3/31/2001,2000,4,INDL,C,D,STD,AMC ENTERTAINMENT INC -OLD,USD,2001Q1,2000Q4,I
1038,6/30/2001,2001,1,INDL,C,D,STD,AMC ENTERTAINMENT INC -OLD,USD,2001Q2,2001Q1,I
1038,9/30/2001,2001,2,INDL,C,D,STD,AMC ENTERTAINMENT INC -OLD,USD,2001Q3,2001Q2,I
1038,12/31/2001,2001,3,INDL,C,D,STD,AMC ENTERTAINMENT INC -OLD,USD,2001Q4,2001Q3,I
1038,3/31/2002,2001,4,INDL,C,D,STD,AMC ENTERTAINMENT INC -OLD,USD,2002Q1,2001Q4,I
1038,6/30/2002,2002,1,INDL,C,D,STD,AMC ENTERTAINMENT INC -OLD,USD,2002Q2,2002Q1,I
1038,9/30/2002,2002,2,INDL,C,D,STD,AMC ENTERTAINMENT INC -OLD,USD,2002Q3,2002Q2,I
1038,12/31/2002,2002,3,INDL,C,D,STD,AMC ENTERTAINMENT INC -OLD,USD,2002Q4,2002Q3,I
1038,3/31/2003,2002,4,INDL,C,D,STD,AMC ENTERTAINMENT INC -OLD,USD,2003Q1,2002Q4,I
1038,6/30/2003,2003,1,INDL,C,D,STD,AMC ENTERTAINMENT INC -OLD,USD,2003Q2,2003Q1,I
